codigo,creditos,creditos_requeridos,prerrequisitos,obligatorio,nombre,semestre
69,3,0,0,true,Tecnica Complementaria 1,1
17,4,0,0,true,Social Humaistica 1,1
101,7,0,0,true,Matematica Basica 1,1
39,1,0,0,false,Deportes 1,1
6,2,0,0,false,Idioma Tecnico 1,1
354,5,0,0,true,Quimica 3,1
27,3,0,0,true,Biologia General,1
75,1,0,69,true,AutoCAD 2D,2
19,4,0,17,true,Social Humanistica 2,2
103,7,0,101,true,Matematica Basica 2,2
147,5,0,101,true,Fisica Basica,2
40,1,0,39,false,Deportes 2,2
5,3,0,0,true,Tecnicas de Estudio y de Investigacion,2
8,2,0,6,false,Idioma Tecnico 2,2
356,5,0,354,true,Quimica 4,2
879,3,0,27,true,Climatologia,2
10,2,0,19,false,Logica,3
107,10,0,103,true,Matematica Intermedia 1,3
150,6,0,103;147,true,Fisica 1,3
30,3,0,879,true,Geografia,3
9,2,0,8,false,Idioma Tecnico 3,3
362,5,0,356,true,Analisis Cualitativo,3
2025,0,0,103,true,Practica Inicial,3
450,3,0,30;354,true,Geologia,4
80,6,0,107;75,true,Topografia 1,4
112,5,0,107,true,Matematica Intermedia 2,4
114,5,0,107,true,Matematica Intermedia 3,4
152,6,0,107;150,true,Fisica 2,4
170,5,0,107;150,true,Mecanica Analitica 1,4
732,5,0,107;5,true,Estadistica 1,4
11,2,0,9,false,Idioma Tecnico 4,4
358,4,0,362,true,Quimica Organica 1,4
364,5,0,362,false,Analisis Cuantitativo,4
300,5,0,114;170,true,Resistencia de Materiales 1,5
250,6,0,114;170,true,Mecanica de Fluidos,5
700,5,0,732,true,Ingenieria Economica 1,5
663,3,0,732,true,Legislacion Ambiental,5
82,6,0,80,true,Topografia 2,5
90,3,0,114;732,true,Programacion de Computadoras 1,5
28,3,0,450,true,Ecologia,5
734,5,0,732,false,Estadistica 2,5
360,4,0,358,false,Quimica Organica 2,5
380,4,0,114;356,false,Fisicoquimica 1,5
450,5,0,300,true,Mecanica de Suelos,6
456,6,0,300,true,Materiales de Construccion,6
252,6,0,250,true,Hidraulica,6
390,5,0,250,true,Termodinamica 1,6
642,3,0,663,true,Seguridad e Higiene Industrial,6
670,3,0,663;358,true,Legislacion Ambiental 2,6
84,6,0,82,true,Topografia,6
361,4,0,360,false,Bioquimica,6
370,3,0,28;358,true,Quimica Ambiental,6
440,5,0,358;732,true,Microbiologia,6
431,3,0,700,true,Economia de los RNR,6
329,6,0,458,false,Sismologia,7
254,6,0,252,true,Hidrologia,7
656,5,150,0,false,Administracion de Empresas 1,7
335,3,0,642,true,Gestion de Desastres,7
60,2,0,84,true,Taller Sistemas de Informacion Geografica,7
2036,0,0,663;370;2025,true,Practica Intermedia,7
262,5,0,254,false,Aguas Subterraneas,8
193,3,0,84;254,true,Manejo de Cuencas Hidrograficas,8
392,5,0,390,false,Termodinamica 2,8
280,5,0,254,true,Ingenieria Sanitaria 1,8
282,5,0,254,true,Ingenieria Sanitaria 2,8
198,3,0,440;60,true,Calidad del Agua,8
441,3,0,254;370,true,Manejo Adecuado de Desechos Solidos,8
706,4,0,700;441,true,Preparacion y Evaluacion de Proyectos 1,9
284,5,0,280;282,false,Saneamiento Ambiental,9
7992,4,200,0,true,Seminario de Investigacion,9
7990,4,225,0,true,Seminario de Investigacion EPS,9
1,4,200,0,true,Etica Profesional,9
196,3,0,198,true,Calidad del Aire,9
708,4,0,706,false,Preparacion y Evaluacion de Proyectos 2,10
288,4,0,706;335,true,Introduccion a la Evaluacion de Impacto Ambiental,10
437,4,0,198;196,false,Control de Contaminantes Industriales,10
434,4,0,198;196,false,Procesos Quimicos Industriales,10
2035,0,200,2036,true,Practica Final,10
